title,price,src,type
小米（MI）Redmi Note 11 5G 5000mAh大电池 立体声双扬声器 8GB+ 256GB 浅梦星河 智能,1189.0,https://img11.360buyimg.com/n7/jfs/t1/134974/28/33094/72528/6445e660F38f18003/4a329bfdd4bbe897.jpg,手机
金立（Gionee）V16 翻盖老人,238.0,https://img10.360buyimg.com/n7/jfs/t1/215846/35/25975/76471/6444dbeeF92ff3951/f9af559b6b83ab32.jpg,手机
vivo iQOO Z7新品120W闪充 高通骁龙782G 6400万像素防抖 5G全网通智能,1899.0,https://img13.360buyimg.com/n7/jfs/t1/209041/34/32645/58668/6449dadaF33303b35/deb0d5bd357b31b8.png,手机
"	
【焕新机】Apple iPhone 8 苹果8二手",949.0,https://img13.360buyimg.com/n7/jfs/t1/107030/37/27516/44253/63771bbeEa4135cde/b68dcbf2411706da.jpg,手机
小米12X 5G新品,2569.0,https://img12.360buyimg.com/n7/jfs/t1/157627/28/31944/89199/643e2c5dFb1a8b8ff/56b749cc66f8515d.jpg,手机
小米Redmi 红米note12turbo 新品5G,2099.01,https://img14.360buyimg.com/n7/jfs/t1/180849/2/34710/63784/643cb426F2e78710d/87d607876ebef7a0.jpg,手机
vivo X90 4nm天玑9200旗舰芯片 自研芯片V2 120W双芯闪充 蔡司影像 5G,4499.0,https://img12.360buyimg.com/n7/jfs/t1/45647/8/19551/70656/643cf4e9F63232a96/8620572c96adafa3.jpg,手机
荣耀80 GT 骁龙8+旗舰芯 超帧独显芯片 120Hz原画超帧屏 IMX800主摄 5G,2999.0,https://img14.360buyimg.com/n7/jfs/t1/150852/37/28516/44646/63ac4304Fbcdf626d/967526693df561ed.jpg,手机
魅族（MEIZU）17  骁龙865 6.6英寸旗舰5G游戏,1899.0,https://img12.360buyimg.com/n7/jfs/t1/164794/31/21511/34201/63f09f4bFb5e91b45/01d807c133117ec4.jpg,手机
"	
【官翻机-准新】三星 Galaxy S20+ 5G",2799.0,https://img13.360buyimg.com/n7/jfs/t1/174843/1/35806/90379/64317d6dF5af0b063/32e38604e689f5bf.jpg,手机
"	
华为MateX3 折叠屏",18688.0,https://img10.360buyimg.com/n7/jfs/t1/106489/25/33538/94405/644640a7Fb2f50295/995a1ac4c2c83a8a.jpg,手机
Apple iPhone 14 (A2884) 128GB 午夜色 支持移动联通电信5G 双卡双待,5399.0,https://img13.360buyimg.com/n7/jfs/t1/142704/31/29411/21674/63194b4eEf9d1f7a3/3732bee45932b688.jpg,手机
【自营】8核+256GB智能,699.0,https://img10.360buyimg.com/n7/jfs/t1/177094/12/33105/51314/63ff171aF5130d1de/e46d1d43707a5e18.jpg,手机
"	
huawei 华为 Mate20X 麒麟980 5G 4G全网通 翡冷翠 8G+256G【95新】 宝石蓝（4G) 6GB+128GB 95成新",1359.0,https://img11.360buyimg.com/n7/jfs/t1/98876/26/38963/888073/641c30cfFde628af2/36aaef302848bb57.png,手机
"	
华为 Mate40 二手5G",2969.0,https://img13.360buyimg.com/n7/jfs/t1/95273/13/24362/53383/636a2aa1E45c60fbf/bd82eeeb4b3286e1.jpg,手机
